Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature_0_to_7cm,Max of soil_moisture_0_to_7cm, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
2,33.5209,-108.621,163,27.7,25.8,0.223,119.9,O1b,18.4339,2.26943,2.26943,2.26943,12550,14.02
2,33.5152,-108.598,164,27.7,25.8,0.223,119.9,O1b,18.4339,0.362298,0.362298,0.362298,2004,14.02
2,33.6726,-109.273,165,27.1,28.5,0.237,119.9,O1b,18.4339,1.87761,1.87761,1.87761,10384,14.02
2,33.5729,-108.578,166,28.1,26.4,0.212,119.9,O1b,18.4339,0.2128,0.2128,0.2128,1177,14.02
2,33.6637,-109.271,167,27.1,28.5,0.237,119.9,O1b,18.4339,2.99043,2.99043,2.99043,16538,14.02
2,33.5641,-108.576,168,28.1,26.4,0.212,119.9,O1b,18.4339,0.2128,0.2128,0.2128,1177,14.02
2,33.5049,-108.607,169,27.7,25.8,0.223,119.9,O1b,18.4339,0.482416,0.482416,0.482416,2668,14.02
2,33.5258,-107.823,170,29,33,0.121,65.4,O1b,7.97845,0.2128,0.2128,0.2128,509,14.02
2,33.5522,-107.829,171,29.1,34.8,0.096,65.4,O1b,7.97845,0.2128,0.2128,0.2128,509,14.02
2,33.6209,-109.368,172,27.1,26.2,0.21,53.4,O1b,5.29107,2.45014,2.45014,2.45014,3889,14.02
2,33.6958,-97.9149,173,38.4,42.3,0.134,47.2,O1b,4.31873,0.447152,0.447152,0.447152,579,25.01
2,33.6942,-97.9201,174,38.4,42.3,0.134,47.2,O1b,4.31873,1.16736,1.16736,1.16736,1512,25.01
2,33.0422,-108.418,175,33.2,36.7,0.181,75.5,O1b,10.3269,0.2128,0.2128,0.2128,659,14.02
2,33.5744,-108.567,176,28.1,26.4,0.212,75.5,O1b,10.3269,0.2128,0.2128,0.2128,659,14.02
2,33.3104,-108.416,177,29.1,27.8,0.246,75.5,O1b,10.3269,0.2128,0.2128,0.2128,659,14.02
2,26.4363,-109.211,178,36.3,53.5,0.059,67.6,farm,8.60896,0.35,0.35,0.35,904,4.21107
2,33.3331,-108.394,179,29.1,27.8,0.246,75.5,O1b,10.3269,0.2128,0.2128,0.2128,659,14.02
2,33.0484,-108.375,180,31.6,31,0.214,75.5,M2_50,25.8637,0.350898,0.350898,0.117436,2723,14.02
2,33.3871,-108.46,181,27.9,26.5,0.234,75.5,M2_50,25.8637,0.202786,0.202786,0.117436,1573,14.02
2,33.3,-108.425,182,29.1,27.8,0.246,75.5,M2_50,25.8637,0.202786,0.202786,0.117436,1573,14.02
2,33.0561,-108.394,183,31.6,31,0.214,75.5,M2_50,25.8637,0.202786,0.202786,0.117436,1573,14.02
2,33.0406,-108.428,184,33.2,36.7,0.181,75.5,C4,53.0398,0.201342,0.96895,28.6622,15418,14.02
2,33.5656,-108.565,185,28.1,26.4,0.212,75.5,O1b,10.3269,0.2128,0.2128,0.2128,659,14.02
2,33.5137,-108.608,186,27.7,25.8,0.223,119.9,C5,32.4562,1.08245,1.4342,16.6641,13965,14.02
2,33.508,-108.585,187,27.7,25.8,0.223,119.9,C5,32.4562,0.984493,1.54259,16.6641,15020,14.02
2,37.3606,-106.804,188,23,21.5,0.168,69.2,C5,15.2528,2.75585,2.93317,21.3655,13422,8.47
2,38.1578,-112.441,189,26.4,25.6,0.184,89.8,C5,27.5974,1.49521,1.6532,9.14806,13687,8.47
2,38.1435,-112.445,190,28,31.5,0.165,89.8,C5,27.5974,1.95082,2.07423,9.14806,17173,8.47
2,37.362,-106.793,191,23,21.5,0.168,69.2,C3,38.2327,1.76989,2.59561,21.3655,29771,8.47
2,38.1553,-112.434,192,26.4,25.6,0.184,89.8,C3,81.5534,1.92001,2.51622,9.14806,61562,8.47
2,37.5201,-107.293,193,23.4,21.9,0.172,111.9,C3,100.782,1.8638,2.82105,12.1896,85293,8.47
2,36.0839,-106.802,194,24.3,23.1,0.188,71.1,C3,41.7481,1.34791,2.30109,15.6751,28820,8.47
2,36.1079,-106.76,195,24.3,23.1,0.188,71.1,C3,41.7481,2.81474,3.69857,15.6751,46323,8.47
2,36.0898,-106.756,196,24.3,23.1,0.188,71.1,C3,41.7481,2.85355,3.82571,15.6751,47915,8.47
2,38.1555,-112.455,197,27.3,27.1,0.182,57,C5,10.639,2.00546,2.00546,12.8309,6401,8.47
2,38.1507,-112.461,198,28.5,31.5,0.138,57,C5,10.639,2.18185,2.18185,12.8309,6964,8.47
2,38.1484,-112.474,199,28.5,31.5,0.138,57,C5,10.639,0.885391,0.885391,12.8309,2826,8.47
2,38.1624,-112.472,200,27.3,27.1,0.182,57,C5,10.639,0.806699,0.806699,12.8309,2575,8.47
2,36.1049,-106.783,201,24.3,23.1,0.188,71.1,C5,16.5739,1.75969,1.92432,15.6751,9568,8.47
2,36.1064,-106.771,202,24.3,23.1,0.188,71.1,C5,16.5739,2.03949,2.50952,15.6751,12478,8.47
2,36.0793,-106.766,203,24.3,23.1,0.188,71.1,C3,41.7481,2.49036,3.66537,15.6751,45907,8.47
2,36.0883,-106.768,204,24.3,23.1,0.188,71.1,C3,41.7481,1.86878,2.58639,15.6751,32393,8.47
2,36.0868,-106.779,205,24.3,23.1,0.188,71.1,C3,41.7481,1.58202,2.7337,15.6751,34238,8.47
2,36.0944,-106.793,206,24.3,23.1,0.188,71.1,C3,41.7481,1.58202,2.39811,15.6751,30035,8.47
2,36.1034,-106.795,207,24.3,23.1,0.188,71.1,C3,41.7481,1.58202,2.73999,15.6751,34317,8.47
2,36.0822,-106.743,208,24.9,23.9,0.191,71.1,C3,41.7481,2.85355,3.81524,15.6751,47784,8.47
2,36.0974,-106.77,209,24.3,23.1,0.188,71.1,C3,41.7481,1.48374,2.2587,15.6751,28289,8.47
2,36.0854,-106.791,210,24.3,23.1,0.188,71.1,C3,41.7481,2.4498,3.60833,15.6751,45192,8.47
2,36.0989,-106.758,211,24.3,23.1,0.188,71.1,C3,41.7481,2.73945,3.65229,15.6751,45743,8.47
2,36.0778,-106.778,212,24.3,23.1,0.188,71.1,C3,41.7481,2.37622,3.50674,15.6751,43920,8.47
2,36.0808,-106.754,213,24.9,23.9,0.191,71.1,C3,41.7481,2.85355,3.82542,15.6751,47911,8.47
2,38.1531,-112.468,214,28.5,31.5,0.138,57,C5,10.639,2.07544,2.07544,12.8309,6624,8.47
2,38.1648,-112.458,215,27.3,27.1,0.182,57,C5,10.639,0.506042,0.506042,12.8309,1615,8.47
2,34.4162,-111.344,216,28.6,27.8,0.224,90.6,O1b,17.6785,0.2128,0.2128,0.2128,1129,14.02
2,34.4184,-111.33,217,28.6,27.8,0.224,90.6,O1b,17.6785,0.214057,0.214057,0.214057,1135,14.02
2,38.153,-112.447,218,28,31.5,0.165,89.8,O1b,15.3547,2.49595,2.49595,2.49595,11497,8.47
2,36.5714,-112.04,219,33.1,34.9,0.1,58.8,O1b,6.38437,0.2128,0.2128,0.2128,408,24.34
2,36.5692,-112.053,220,29.6,29.9,0.189,58.8,O1b,6.38437,0.2128,0.2128,0.2128,408,24.34
2,38.1507,-112.482,221,28.5,31.5,0.138,57,M2_50,17.4517,2.0922,2.0922,0.354971,10954,8.47
2,34.8798,-108.098,222,29.3,40.3,0.082,78.5,M2_50,27.968,0.197867,0.197867,0.169002,1660,24.34
2,36.0959,-106.781,223,24.3,23.1,0.188,71.1,C3,41.7481,1.56131,2.60009,15.6751,32565,8.47
2,48.0377,-116.201,224,21.4,21,0.238,23,C3,0,3.25634,3.25634,8.32978,0,9.75
2,48.3646,-113.931,225,24.5,23.4,0.185,20.7,C3,0,0.955136,0.955136,11.8242,0,8.03
2,48.5373,-114.844,226,24.4,24,0.163,20.7,C3,0,2.74385,2.74385,11.8242,0,8.03
2,48.3516,-113.955,227,25.1,24,0.161,20.7,C3,0,1.52207,1.52207,11.8242,0,8.03
1,50.4499,-117.58,228,21,21.3,0.203,25.51,C7,2.475,3.125,3.125,6.31137,2320,6.31
2,50.3458,-121.692,229,22.6,21.7,0.197,6.57,C3,0.022,3.643,3.643,14.2797,24,6.31
2,50.7552,-117.15,230,20.5,21.9,0.288,29.84,C7,3.113,3.174,3.174,6.59568,2964,6.31
2,50.7584,-117.132,231,20.5,21.9,0.288,29.84,C7,3.113,3.174,3.174,6.59568,2964,6.31
1,50.6894,-117.101,232,21,20.1,0.204,38.95,C5,2.147,4.283,4.283,8.77288,2759,6.31
1,50.58,-117.245,233,22.1,22,0.172,28.87,C5,0.306,3.815,3.815,7.14906,350,6.31
1,50.4686,-117.005,234,23.8,22,0.228,25.57,C7,1.355,3.176,3.176,5.31246,1291,6.31
1,50.4565,-117.018,235,23.8,22,0.228,26.99,C5,0.308,3.897,3.897,5.3624,360,6.31
1,50.4583,-116.977,236,23.8,22,0.228,28.35,C3,3.923,4.191,4.22961,5.36443,4978,6.31
1,50.3387,-115.612,237,21.4,19.9,0.2,21.86,C3,0.606,4.046,4.046,10.0666,736,6.31
1,50.3322,-115.594,238,21.4,19.9,0.2,21.43,C3,0.745,4.11,4.11,10.122,919,6.31
1,49.7413,-114.909,239,23.4,21.9,0.222,29.11,C3,2.935,3.623,3.623,6.30411,3190,6.31
2,44.0168,-122.498,240,25.2,24.5,0.149,35.3,C3,3.86669,9.60921,10.5758,10.8571,12268,10.07
2,48.349,-113.911,241,24.5,23.4,0.185,20.7,C5,0.0998357,1.48816,1.48816,11.8242,45,8.03
2,48.3671,-113.974,242,25.1,24,0.161,20.7,C3,0,1.172,1.172,11.8242,0,8.03
2,48.3667,-113.917,243,24.5,23.4,0.185,20.7,C3,0,2.6084,2.6084,11.8242,0,8.03
2,44.0078,-122.534,244,25.2,24.5,0.149,35.3,C3,3.86669,8.46724,9.26158,10.8571,10744,10.07
1,49.6928,-114.919,245,23.4,21.9,0.222,32.08,O1a,1.707,0.35,0.35,0.35,179,6.31
2,50.7647,-117.152,246,20.5,21.9,0.288,23.75,D1,0,0,0,2.56987,0,6.31
2,50.7678,-117.134,247,20.5,21.9,0.288,23.75,O1a,0,0,0,5.99537,0,6.31
2,60.2389,-111.631,248,18.8,18.6,0.164,33.16,C2,12.266,4.289,4.43276,13.5682,16312,5.87
2,60.2791,-111.504,249,18.9,19,0.102,32.73,C4,11.708,4.31,4.53642,13.5045,15934,5.87
2,60.2994,-111.512,250,18.9,19,0.102,32.52,C4,11.619,4.301,4.31562,13.4707,15043,5.87
1,60.558,-111.322,251,18.4,18.7,0.084,30.7,C4,10.705,4.036,4.16162,13.4603,13365,5.87
1,60.5559,-111.347,252,18.4,18.7,0.084,30.7,C4,10.705,4.036,4.24366,13.4603,13629,5.87
1,60.685,-111.401,253,18.4,18.5,0.094,30.51,C4,10.733,4.072,4.20689,13.743,13546,5.87
2,61.3709,-111.354,254,17.5,17.5,0.151,28.79,C4,9.124,4.185,4.38086,14.5485,11991,5.87
2,61.3759,-111.362,255,17.5,17.8,0.136,28.79,C4,9.124,4.185,4.50679,14.5485,12336,5.87
2,61.4096,-111.719,256,18.1,19,0.134,29.24,C4,9.555,4.221,4.38491,14.601,12569,5.87
2,62.1195,-113.413,257,18.5,22,0.114,28.7,C4,11.039,3.495,3.64325,8.16664,12065,5.87
2,62.1173,-113.436,258,18.5,22,0.114,28.56,C4,11.154,3.434,3.75844,8.04841,12577,5.87
2,62.1368,-113.445,259,18.5,22,0.114,28.76,C4,11.049,3.511,3.66743,8.20906,12156,5.87
2,62.1346,-113.468,260,18.8,22.4,0.107,28.76,C4,11.049,3.511,3.68096,8.20906,12201,5.87
2,62.1563,-113.454,261,19.2,20.9,0.139,28.93,C4,10.734,3.632,3.80005,8.5827,12237,5.87
2,62.1661,-113.458,262,19.4,21.3,0.132,29.12,C4,10.671,3.708,3.81198,8.76402,12203,5.87
2,62.1638,-113.481,263,19.4,21.3,0.132,29.17,C4,10.869,3.676,3.95425,8.6805,12894,5.87
2,62.1616,-113.505,264,19.4,21.3,0.132,29.07,C4,10.906,3.635,3.83057,8.59316,12533,5.87
2,62.1593,-113.528,265,19.4,21.3,0.132,29.07,C4,10.906,3.635,3.635,8.59316,11893,5.87
1,62.1782,-113.439,266,19.2,20.9,0.139,29.12,C4,10.671,3.708,3.95618,8.76402,12665,5.87
1,60.6931,-111.429,267,18.4,18.5,0.094,30.58,D2,1.853,1.401,1.401,9.34258,779,5.87
2,60.8026,-112.131,268,20,19.4,0.237,31.74,D2,1.967,1.411,1.411,9.18857,833,5.87
2,62.1759,-113.462,269,19.4,21.3,0.132,29.12,C4,10.671,3.708,4.09221,8.76402,13100,5.87
2,62.1994,-113.325,270,19.1,20.5,0.156,31.31,C4,10.64,4.362,4.42947,13.4415,14139,5.87
1,62.188,-113.443,271,19.2,20.9,0.139,29.37,C4,10.583,3.789,4.03718,8.96036,12818,5.87
2,62.1834,-113.49,272,19.4,21.3,0.132,29.35,C4,10.775,3.758,3.95357,8.88403,12780,5.87
1,62.207,-113.353,273,19.1,20.5,0.156,31.31,C4,10.64,4.362,4.53298,13.4415,14469,5.87
1,62.1996,-113.429,274,19.2,20.9,0.139,29.31,C4,10.57,3.816,3.92875,9.03487,12458,5.87
2,61.0878,-111.656,275,18.8,20,0.135,29.76,O1a,0.02,0.35,0.35,0.35,2,5.87
2,61.3732,-111.328,276,17.5,17.5,0.151,28.39,O1a,0.006,0.35,0.35,0.35,1,5.87
2,61.4157,-111.269,277,17.5,17.5,0.151,28.23,O1a,0.041,0.35,0.35,0.35,4,5.87
2,62.1293,-113.417,278,18.5,22,0.114,28.84,O1a,0.014,0.35,0.35,0.35,1,5.87
1,51.0423,-119.782,279,25.5,24.3,0.167,36.59,M1_65,5.961,3.406,4.19277,0.178215,7498,6.31
1,51.0323,-119.777,280,25.5,24.3,0.167,36.59,M1_65,5.961,3.406,4.32818,0.178215,7740,6.31
1,51.5166,-117.53,281,21.8,20.4,0.236,32.34,C5,1.854,3.631,3.631,7.2661,2020,6.31
1,51.5137,-117.547,282,20.4,21.1,0.184,32.56,C5,1.625,3.627,3.627,7.3876,1768,6.31
2,51.0027,-119.87,283,25,23.8,0.176,33.96,C3,3.797,4.471,4.51658,13.7726,5145,6.31
2,51.0132,-119.873,284,25,23.8,0.176,33.96,C3,3.797,4.471,4.54809,13.7726,5181,6.31
2,51.0093,-119.893,285,25,23.8,0.176,37.67,C3,8.858,4.586,4.70945,14.8537,12515,6.31
1,50.8833,-122.899,286,21.4,19.6,0.265,30.91,C7,2.477,3.219,3.219,11.4952,2392,6.31
1,50.8786,-122.919,287,21.4,19.6,0.265,26.3,C3,3.024,3.913,3.913,10.7344,3550,6.31
1,50.8952,-122.903,288,21.4,19.6,0.265,29.55,C7,1.714,3.203,3.203,11.3728,1647,6.31
1,50.8874,-122.904,289,21.4,19.6,0.265,30.91,C7,2.477,3.219,3.219,11.4952,2392,6.31
1,50.8827,-122.925,290,21.4,19.6,0.265,26.3,C3,3.024,3.913,3.913,10.7344,3550,6.31
1,52.2815,-119.379,291,21.4,21.5,0.146,24.31,C5,0.885,2.182,2.182,4.48572,579,6.31
1,58.4073,-121.776,292,26.2,24.5,0.479,12.61,C1,0.309,1.364,1.364,1.364,126,4.55
1,58.3983,-121.77,293,26.2,24.5,0.479,12.61,C1,0.309,1.364,1.364,1.364,126,4.55
2,58.3728,-120.273,294,26.2,24.3,0.444,13.28,M1_35,2.963,1.098,1.098,12.5093,976,4.55
2,58.3552,-120.205,295,26,24.2,0.44,12.98,M1_35,2.887,1.085,1.085,13.0166,940,4.55
1,58.557,-120.02,296,26,24,0.45,14.03,D1,1.274,0.775,0.775,12.2961,296,4.55
1,58.4926,-120.126,297,26,24.1,0.445,13.47,C2,5.812,1.771,1.90191,7.96514,3316,4.55
2,59.6279,-116.183,298,21.5,20.5,0.472,17.98,C2,6.77,2.723,2.81042,6.93483,5708,6.82
2,59.6302,-116.165,299,21.5,20.5,0.472,18.73,C4,7.429,2.15,2.28837,7.01999,5100,6.82
2,60.7017,-116.9,300,22.6,21.6,0.247,24.86,M1_50,4.779,2.542,2.5681,0.603676,3682,8.54
2,60.6918,-116.909,301,22.6,21.6,0.247,24.86,M1_50,4.779,2.542,2.55342,0.603676,3661,8.54
2,60.6942,-116.891,302,22.6,21.6,0.247,24.86,M1_50,4.779,2.542,2.57098,0.603676,3686,8.54
2,60.6948,-116.813,303,22.8,21.8,0.244,24.98,M1_50,4.765,2.561,2.57118,0.577069,3676,8.54
2,60.7433,-116.943,304,22.6,21.6,0.247,25.22,C4,8.208,3.653,3.74192,12.1437,9214,8.54
2,56.1522,-107.978,305,17.5,18,0.175,21.46,C4,7.785,2.81,2.924,5.85988,6829,6.36
2,56.1502,-108.003,306,17.5,18,0.175,21.11,C3,1.567,2.786,2.786,5.84679,1310,6.36
2,56.1652,-107.955,307,17.6,17.9,0.187,21.36,C3,1.604,2.804,2.804,5.85378,1349,6.36
2,56.1632,-107.98,308,17.6,17.9,0.187,21.46,C4,7.785,2.81,2.9338,5.85988,6852,6.36
2,56.1613,-108.006,309,17.6,17.9,0.187,21.11,C3,1.567,2.786,2.786,5.84679,1310,6.36
2,56.1594,-108.031,310,17.6,17.9,0.187,21.37,C3,1.608,2.817,2.817,5.90545,1359,6.36
2,56.1783,-107.932,311,17.6,17.9,0.188,21.79,C3,1.686,2.845,2.845,5.91036,1439,6.36
2,56.1763,-107.957,312,17.6,17.9,0.187,21.79,C3,1.686,2.845,2.845,5.91036,1439,6.36
2,56.2114,-107.947,313,17.6,17.9,0.188,21.53,C4,7.708,2.848,3.03215,5.90908,7012,6.36
2,60.7786,-112.815,314,21.3,20.6,0.296,30.93,C2,11.048,4.139,4.56345,14.3686,15125,7.29
2,60.7019,-112.66,315,21.1,20.5,0.311,31.8,C2,11.63,4.161,4.23608,14.0894,14780,7.29
2,60.5826,-112.629,316,21,20.2,0.332,32.58,C2,12.082,4.197,4.29129,14.0358,15554,7.29
2,60.5728,-112.625,317,21,20.2,0.332,32.66,C2,12.121,4.203,4.29729,14.0175,15626,4.55
2,59.57,-114.279,318,20.1,19.7,0.46,25.39,C2,10.728,3.221,3.34843,10.2067,10777,6.82
2,59.6325,-116.147,319,21.4,20.4,0.473,18.73,C4,7.429,2.15,2.2465,7.01999,5007,6.82
2,59.6347,-116.13,320,21.4,20.4,0.473,18.71,C2,7.163,2.774,2.92601,7.02158,6288,6.82
2,59.6524,-116.138,321,21.4,20.4,0.473,18.66,C4,7.384,2.147,2.24987,7.05976,4984,6.82
2,59.6546,-116.121,322,21.4,20.4,0.473,18.66,C4,7.384,2.147,2.28362,7.05976,5059,6.82
2,59.6569,-116.103,323,21.6,20.6,0.469,18.73,C2,7.152,2.786,2.93801,7.08811,6304,6.82
2,59.639,-116.169,324,21.5,20.5,0.472,18.59,C2,7.084,2.772,2.92276,7.03305,6211,6.82
2,59.6413,-116.152,325,21.4,20.4,0.473,18.59,C2,7.084,2.772,2.92161,7.03305,6209,6.82
2,59.6435,-116.134,326,21.4,20.4,0.473,18.66,C4,7.384,2.147,2.28257,7.05976,5056,6.82
